reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound
Gary Campla,1,"I am very pleased with this memory card, I use it in a dash cam in my car. The quality of videos turn out great and I have no compatibility issues with any equipment I may use for playback.",2013-12-18,355,0,0,0,0,0.0,0.0
Carnegie,1,Very fast transfer speeds and it feels like it is very good build quality. Great price too and would recommend.,2013-07-01,525,0,0,0,0,0.0,0.0
Guillermo Lene,1,"The Memory SanDisk Ultra 64GB Micro-SDXC Class 10 UHS it has been working really good and it is fast at loading my content i would really recommend this product to anyone that needs a memory card for their phones, tablets and more.",2014-03-06,277,0,0,0,0,0.0,0.0
Francisco Barros,1,"I use it on my SAMSUNG GALAXY S3, it works great... more space to save all my documents, pictures and more :)",2013-11-06,397,0,0,0,0,0.0,0.0
B. Weigel,1,Great little card. Will allow 1080p recording on my note 3 phone. Frustration free packaging is genius. Make sure your device supports the high capacity card before ordering.,2014-07-03,158,0,0,0,0,0.0,0.0
C-LoS,1,Great price! works flawless with my note 3. I love it!!! So glad I purchased this memory card. A must have to expand your memory on your phone.,2013-12-12,361,0,0,0,0,0.0,0.0
Xavier H.,1,"I bought it for just 23 USD, it is very fast and reliable, simply the best option for a 10 class micro SD of 32GB.UPDATE:11-08-2013Don't buy it for using it on a Samsung Galaxy S3, there's seem to be an issue between the phone an this particular reference that makes that after a while the MicroSD card lost its data and get nonfunctional. I can't be repair after that, so it gets totally useless. You can tell the card is going to fail before it's too late because constantly the phone shows a notification indicating that the card was ejected and it needs to be mounted again. When this happens I strongly recommend you to backup your data and change the MicroSD card of your phone and use it in other device before it gets corrupted.",2012-12-15,723,0,0,0,0,0.0,0.0
DAVID R HARVILLE,1,"Has worked fine, had no problems but I decided to move up to 64 Gig and ordered one. I moved this one to a USB drive I have.",2013-02-08,668,0,0,0,0,0.0,0.0
"Thomas A. Oehser ""Technologist Extraordinaire""",1,"128GB in the size of a fingernail for this price, who'da thunk it?Works fine in my Sansa Clip Zip (using Rockbox software - probably fine with original firmware but I haven't tried it).NOTA BENE: As with all SDHC/XC cards, it comes from the factory formatted to ExFAT.For Rockbox at least, and probably other software, reformatting to FAT32 is required.If your device or software supports ExFAT, you won't care about this caveat.I'm only using it for MP3 bitrates, so I can't comment on speed issues.The dark red printing on the card is hard to read compared to the white on the 64GB cards.AWESOME!  Thank you Sandisk and Amazon.",2014-11-03,35,0,0,0,0,0.0,0.0
S. Finch,1,I got this card for the Samsung Galaxy S4. Installed and works without issue. Stores tons of photos and videos with fast playback and viewing.,2014-05-02,220,0,0,0,0,0.0,0.0
Billster,1,"What is this thing? Oh, yeah. A memory card!It does what it says and nothing else.Keep remembering things even when you forget. Like my last girlfriend!",2013-01-08,699,0,0,0,0,0.0,0.0
"Teh Arbitrageur ""PM""",1,"Made a very nice upgrade for my Droid RAZR Maxx, replacing the stock 16GB Class 4 card.  My transfer speeds have improved (though not hugely), and the extra space has made a huge difference.  With a name like SanDisk, I don't worry much about quality or reliability.",2012-03-08,1005,0,0,0,0,0.0,0.0
Dragontron11,1,"Im using this on my HTC Inspire 4G works well, copies extremely fast, and no lag on Video Camera App. Worked right out of the box when installed in my HTC and can now enjoy HD Video instead of pixelated youtube quality. SD Card Adapter works too; no problems. Extremely recommend for such an affordable yet genuine Micro SD Card.",2013-05-05,582,0,0,0,0,0.0,0.0
J S,1,Great price and holds tons of stuff. The class 10 is way faster then any other card I have purchased,2013-07-22,504,0,0,0,0,0.0,0.0
Michael J. Klein,1,"I bought 2 of these for my 2 sons to save their games, songs and whatever else on their DSs. Had more space than they will use in quite awhile. It was priced superbly!",2014-02-18,293,0,0,0,0,0.0,0.0
"Traveler46 ""Traveler from '46""",1,This micro SD with adapter works fine.  I have no complaints.  If there was one thing I would wish for is a little less packaging --- it was over packaged for something sent mail order.,2013-06-01,555,0,1,1,-1,0.0,0.0
"westurner ""wMaurice""",1,Memory card works great in my phone and other micro sdhc compatible devices. Do be sure to look out for the compatibility of your device. Some are not sdhc compatible. Luckily everything I have now is compatible. The 32gb size is excellent especially for embedded devices. I use mine with the Raspberry Pi using the adapter and it's speedy.,2013-05-22,565,0,0,0,0,0.0,0.0
Super Sid,1,upgraded from a class4  to this can feel the difference on both a S2 and S3. Fast read and write speed really help when downloading large files as well from the internet with speed.,2013-06-13,543,0,0,0,0,0.0,0.0
Mcgyver210,1,Purchased based on the recommendation from a reviewer of a dash Camera also purchased here. No issues at all just works.,2013-02-07,669,0,0,0,0,0.0,0.0
Freddy M,1,Can't beat the price.,2014-12-07,1,0,0,0,0,0.0,0.0
"Denny Crane, Esq.",1,"It feels odd to give 5 stars to something that disappeared into a piece of electronics, but to be fair, it works as promised, and there is nothing wrong with it.  I use it to store the digital map for my Garmin 810 bike GPS/computer.  The file is about 4Gb in size. The map loads quickly in the Garmin, and I have not had a problem with entering a bike route or navigating one.  I have taken it out twice, a 42 mile ride and a 60 mile ride, and it worked flawlessly both times.  'Nuff said.",2013-08-23,472,0,0,0,0,0.0,0.0
